Gene,Product,Percent of bg genes (fold),,,,,,,
CLUSTER 4,,,,,,,,,
Apical cell part,,5%(57.9),,,,,,,
PBANKA_0711400,Perforin-like protein 4 (PLP4),,,,,,,,
PBANKA_1006200,sporozoite invasion-associated protein 1 (SIAP1),,,,,,,,
Miscellaneous,,,,,,,,,
PBANKA_1306500,TRAP-like protein (TREP) ,,,,,,,,
CLUSTER 9,,,,,,,,,
Lipoate Biosynthesis,,50%(130.4),,,,,,,
PBANKA_0707000,lipoate-protein ligase B (LipB),,,,,,,,
Cell gliding,,25%(65.2),,,,,,,
PBANKA_1419900,"phosphodiesterase gamma, putative (PDEgamma)",,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
